time:0.034, x:2.224, y:0.000, z:0.549, h:-0.000
time:0.134, x:2.224, y:0.000, z:0.549, h:-0.000
time:0.234, x:2.224, y:0.000, z:0.549, h:0.000
time:0.334, x:2.224, y:0.000, z:0.549, h:-0.000
time:0.434, x:2.224, y:0.000, z:0.549, h:-0.000
time:0.534, x:2.224, y:0.000, z:0.549, h:-0.000
time:0.634, x:2.224, y:0.000, z:0.549, h:0.000
time:0.734, x:2.224, y:0.000, z:0.549, h:0.000
time:0.834, x:2.224, y:0.000, z:0.549, h:-0.000
time:0.934, x:2.224, y:0.000, z:0.549, h:0.000
time:1.034, x:2.224, y:0.000, z:0.549, h:0.000
time:1.134, x:2.224, y:0.000, z:0.549, h:0.000
time:1.234, x:2.224, y:0.000, z:0.549, h:0.000
time:1.334, x:2.224, y:0.000, z:0.549, h:0.000
time:1.434, x:2.224, y:0.000, z:0.549, h:0.000
time:1.534, x:2.229, y:-0.000, z:0.549, h:0.000
time:1.634, x:2.246, y:0.000, z:0.549, h:0.000
time:1.734, x:2.290, y:0.000, z:0.550, h:0.000
time:1.834, x:2.363, y:0.000, z:0.550, h:0.000
time:1.934, x:2.466, y:0.000, z:0.551, h:0.000
time:2.034, x:2.598, y:0.000, z:0.551, h:0.000
time:2.134, x:2.760, y:0.000, z:0.551, h:-0.000
time:2.234, x:2.953, y:0.000, z:0.551, h:0.000
time:2.334, x:3.175, y:0.000, z:0.551, h:0.000
time:2.434, x:3.427, y:0.000, z:0.551, h:0.000
time:2.534, x:3.710, y:0.000, z:0.551, h:0.000
time:2.634, x:4.022, y:0.000, z:0.551, h:0.000
time:2.734, x:4.365, y:0.000, z:0.551, h:0.000
time:2.834, x:4.738, y:0.000, z:0.551, h:0.000
time:2.934, x:5.141, y:0.000, z:0.551, h:0.000
time:3.034, x:5.574, y:0.000, z:0.551, h:0.000
time:3.134, x:6.037, y:0.000, z:0.551, h:0.000
time:3.234, x:6.531, y:0.000, z:0.551, h:0.000
time:3.334, x:7.054, y:0.000, z:0.551, h:0.000
time:3.434, x:7.607, y:0.000, z:0.551, h:-0.000
time:3.534, x:8.190, y:0.000, z:0.551, h:-0.000
time:3.634, x:8.804, y:0.000, z:0.551, h:-0.000
time:3.734, x:9.447, y:0.000, z:0.551, h:-0.000
time:3.834, x:10.120, y:0.000, z:0.551, h:-0.000
time:3.934, x:10.823, y:0.000, z:0.551, h:-0.000
time:4.034, x:11.553, y:0.000, z:0.551, h:-0.000
time:4.134, x:12.311, y:0.000, z:0.551, h:-0.000
time:4.234, x:13.097, y:0.000, z:0.551, h:-0.000
time:4.334, x:13.913, y:0.000, z:0.551, h:-0.000
time:4.434, x:14.759, y:0.000, z:0.551, h:-0.000
time:4.534, x:15.634, y:0.000, z:0.551, h:0.000
time:4.634, x:16.539, y:0.000, z:0.551, h:0.000
time:4.734, x:17.474, y:0.000, z:0.551, h:0.000
time:4.834, x:18.439, y:0.000, z:0.551, h:0.000
time:4.934, x:19.433, y:-0.000, z:0.551, h:0.000
time:5.034, x:20.458, y:-0.000, z:0.551, h:0.000
time:5.134, x:21.510, y:-0.000, z:0.551, h:0.000
time:5.234, x:22.573, y:-0.000, z:0.550, h:0.000
time:5.334, x:23.626, y:-0.000, z:0.548, h:0.000
time:5.434, x:24.676, y:-0.000, z:0.548, h:0.000
time:5.534, x:25.724, y:0.000, z:0.549, h:0.000
time:5.634, x:26.769, y:0.000, z:0.549, h:-0.000
time:5.734, x:27.812, y:0.000, z:0.550, h:-0.000
time:5.834, x:28.855, y:0.000, z:0.549, h:-0.000
time:5.934, x:29.914, y:0.000, z:0.550, h:-0.000
time:6.034, x:31.013, y:0.001, z:0.551, h:-0.000
time:6.134, x:32.157, y:0.001, z:0.552, h:-0.000
time:6.234, x:33.346, y:0.000, z:0.553, h:-0.000
time:6.334, x:34.575, y:0.000, z:0.553, h:-0.000
time:6.434, x:35.843, y:0.000, z:0.552, h:-0.000
time:6.534, x:37.147, y:0.000, z:0.552, h:-0.000
time:6.634, x:38.485, y:-0.000, z:0.552, h:-0.000
time:6.734, x:39.857, y:-0.000, z:0.552, h:0.000
time:6.834, x:41.261, y:-0.000, z:0.552, h:0.000
time:6.934, x:42.698, y:-0.000, z:0.552, h:0.000
time:7.034, x:44.166, y:-0.000, z:0.552, h:0.000
time:7.134, x:45.666, y:-0.000, z:0.552, h:0.000
time:7.234, x:47.196, y:-0.000, z:0.552, h:0.000
time:7.334, x:48.757, y:-0.000, z:0.552, h:0.000
time:7.434, x:50.348, y:-0.000, z:0.552, h:0.000
time:7.534, x:51.969, y:-0.000, z:0.552, h:0.000
time:7.634, x:53.620, y:-0.000, z:0.552, h:0.000
time:7.734, x:55.301, y:-0.000, z:0.552, h:0.000
time:7.834, x:57.013, y:-0.000, z:0.552, h:0.000
time:7.934, x:58.754, y:-0.000, z:0.552, h:0.000
time:8.034, x:60.525, y:-0.000, z:0.552, h:0.000
time:8.134, x:62.320, y:-0.000, z:0.551, h:0.000
time:8.234, x:64.117, y:-0.000, z:0.550, h:0.000
time:8.334, x:65.908, y:-0.000, z:0.548, h:0.000
time:8.434, x:67.695, y:-0.000, z:0.548, h:0.000
